"","X","number","variety","inoculant","salt","replicate","trial","shoots","total_abund","tot_mf","tot_16s","tot_its","tot_oom","rel_amf","rel_16s","rel_its","rel_oom","shoot_score","Microbial_Abundance_Score","bfr","log_bfr","log_tot_fun","all_bfr","log_all_bfr","FB","amfb","itsb","log_amf","log_its","log_16s","log_shoots","log_oom","amfoom"
"21",22,106,"A","SC S","6 dS/m",1,2,2.5141,40560.49,11536.47,40864.74,8327.45,264.2,28.44262976,50.37505711,20.53094033,0.651372801,0.454563535,0.78319811,4.907233307,0.690836706,26.5175732976628,2.05723442301419,1.04070619913762,0.486089474691384,0.282308660228843,0.203780814462542,9.35326860071976,9.02731256584687,10.6180228675172,0.921914886624376,5.57670639208822,0.0229012860953134
"22",23,107,"A","SC S","6 dS/m",2,2,2.1714,18773.94,3406.06,29340.9,610.8,86.63,18.142489,78.14262749,3.253446,0.461437503,0.392601432,0.354732599,48.03683694,1.681574403,20.9884443858394,7.30443679889267,2.8687730397956,0.136903094315444,0.116085736974667,0.0208173573407769,8.13331147703929,6.41476957334448,10.2867377260731,0.775372120815615,4.46164617590205,0.025434079258733
"23",24,108,"A","SC S","6 dS/m",3,2,1.3934,11777.05,882.54,21469.16,133.73,26.2,7.493727207,91.14829265,1.135513562,0.222466577,0.251934621,0.217128158,160.5410903,2.205586208,16.8486971930112,21.1254489456542,4.40091009591706,0.0473362721224305,0.0411073372223226,0.00622893490010788,6.78280411355931,4.8958228418847,9.97437276574788,0.331746803613881,3.26575941076705,0.029687039680921
"24",25,113,"A","SC S","12 dS/m",3,2,0.9447,36966.27,18459.79,32059.3,1899.74,577.09,49.93684783,43.36290894,5.139117363,1.561125859,0.170807117,0.712512328,16.87562509,1.227259868,25.0636847886987,1.57465815762938,0.655038668091557,0.635058469773202,0.575801405520395,0.0592570642528065,9.82335013204414,7.54947231368553,10.375342591864,-0.0568878622070484,6.35799823354738,0.0312620024388143
"25",26,115,"A","SC S","12 dS/m",5,2,0.4902,10213.07,1144.56,17900.76,100.4,17.73,11.20681636,87.63652849,0.983054067,0.173601082,0.088630939,0.186370122,178.2944223,2.251137757,16.8101928374042,14.3785824444159,3.84584954526685,0.0695478851177269,0.0639391847050069,0.00560870041271991,7.04277556265808,4.60916220725763,9.79259844902809,-0.712941807888125,2.87525812008612,0.015490668903334
"26",28,123,"A","SC NS","0 dS/m",3,2,4.0285,20520.64,2842.65,31640.64,1765.82,91.85,13.85263812,77.09467151,8.605092239,0.447598126,0.728375642,0.389084101,17.91838353,1.253298828,22.2591433365297,6.86575804985169,2.77941901744234,0.145650340827493,0.0898417351861404,0.0558086056413524,7.95249199468093,7.47637045071436,10.3621976492371,1.39339409823511,4.52015681166113,0.0323113995743408
"27",29,124,"A","SC NS","0 dS/m",4,2,3.3066,26357.1,2777.66,45948.18,522.89,82.46,10.53856456,87.16471084,1.983867724,0.312856877,0.597852029,0.503866928,87.87351068,1.943857977,20.470017970857,13.9213706806441,3.79922935900611,0.0718320072742816,0.0604520135509176,0.011379993723364,7.92936412561521,6.25937111689571,10.7352695187295,1.19592047113511,4.41231332727875,0.0296868587228098
"28",30,125,"A","SC NS","0 dS/m",5,2,3.6657,28033.47,7521.71,38498.9,1017.9,244.41,26.83117716,68.66595537,3.631016781,0.871850684,0.662779345,0.536835284,37.8218882,1.577743207,22.8682250894597,4.50827379704694,2.17257513610615,0.221814389502038,0.195374673042606,0.0264397164594313,8.9255487847109,6.92549696045829,10.5583849484391,1.29901931300845,5.49884714299066,0.0324939408724878
"29",31,127,"A","SC NS","6 dS/m",2,2,3.1616,26816.98,10086.94,31994.9,531.79,200.8,37.61400426,59.65418179,1.98303463,0.748779318,0.571635206,0.512911165,60.16453863,1.779340591,22.3549137988844,3.01306276739309,1.59123072711874,0.33188820718302,0.315267120697361,0.0166210864856586,9.21899679678692,6.27624867457044,10.3733317940803,1.15107822857141,5.30230938781757,0.0199069291579012
"30",32,128,"A","SC NS","6 dS/m",3,2,2.8827,16043.86,2418.07,26842.22,147.92,56.76,15.07162242,83.65262474,0.921972642,0.3537802,0.521208505,0.30104144,181.4644402,2.258791533,18.4483136136392,10.4607656304194,3.38691654214967,0.0955952972593176,0.0900845757169116,0.00551072154240595,7.79072498030079,4.99667158707887,10.1977313000347,1.05872735496919,4.03883185229184,0.0234732658690609
"31",33,129,"A","SC NS","6 dS/m",4,2,3.4984,30839.2,11473.65,35751.08,930.56,559.45,37.20475888,57.96369556,3.0174583,1.814087266,0.632530556,0.592014215,38.41888755,1.584544785,23.3479921585202,2.88217306865975,1.52715696903121,0.346960427489183,0.320931563466055,0.0260288640231288,9.34780838094896,6.83578655546505,10.4843357574561,1.25230572111657,6.32695415825373,0.0487595490537013
"32",34,133,"A","SC NS","12 dS/m",3,2,0.9006,18372.97,1835.69,32841.2,54.92,61.76,9.991253455,89.37368319,0.298917377,0.33614598,0.162833586,0.346846917,597.98252,2.776688489,16.6213664509192,17.3706898831594,4.11858314722285,0.0575682374578274,0.0558959477729194,0.00167228968490798,7.51517571160856,4.00587758089977,10.3994391037027,-0.104694071114666,4.12325590571652,0.0336440248625857
"33",35,134,"A","SC NS","12 dS/m",4,2,0.9091,3784.52,459,6483.84,68.1,15.5,12.12835445,85.66264678,1.799435596,0.409563168,0.164370435,0.059942947,95.21057269,1.978685177,14.9319332365385,12.3009675583381,3.62069989311174,0.081294418122594,0.0707913828842168,0.0105030352383773,6.12905021006055,4.22097721315547,8.77706820642526,-0.0953001798543245,2.7408400239252,0.0337690631808279
"34",36,163,"A","BTN NS","0 dS/m",3,2,4.015,20243.77,3966.48,24313.38,4096.47,24.13,19.59358361,60.05151214,20.23570708,0.119197165,0.725934765,0.383639033,5.935202748,0.773435559,23.9538090933561,3.0154447193645,1.59237078723584,0.331626042944255,0.163139802034929,0.168486240909326,8.28563433050068,8.31788090623026,10.0987820950785,1.39003734739872,3.18345587963694,0.00608347955870192
"35",37,164,"A","BTN NS","0 dS/m",4,2,3.0793,23611.23,7122.6,28992.92,815.99,1176.18,30.16615399,61.39646262,3.455940245,4.981443152,0.5567549,0.449865235,35.53097464,1.550607121,22.4705959183045,3.65214981501753,1.86874594740036,0.27381133049034,0.24566687315386,0.0281444573364808,8.87102810628754,6.70440209998705,10.2748069412311,1.12470229842785,7.07002717797039,0.165133518658917
"36",38,165,"A","BTN NS","0 dS/m",5,2,3.5215,22321.59,5553.18,32305.64,483.33,132.26,24.87806648,72.36411026,2.165302741,0.592520515,0.636707167,0.424502511,66.83971614,1.825034597,21.3559631791908,5.35170818900325,2.41999945272164,0.186856226962227,0.171895062286338,0.0149611646758894,8.62212601562711,6.180699650171,10.3829971069708,1.25888703520333,4.88476968224652,0.0238169841424193
