number,variety,inoculant,salt,replicate,trial,shoots,total_abund,tot_mf,tot_16s,tot_its,tot_oom,rel_amf,rel_16s,rel_its,rel_oom,shoot_score,Microbial_Abundance_Score
70,A,SLK S,S3,5,2,2.3701,7548.320000000001,2742.51,0,4733.21,72.6,36.332720393412046,0,62.70547618542933,0.9618034211586153,0.428527518622984,NA
71,A,SLK S,S4,1,2,0.7898,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1428003182179793,NA
72,A,SLK S,S4,2,2,0.6206,20888.15,3541.15,17021.48,270.82,54.7,16.95291349401455,81.488690956355626,1.2965245845132287,0.26187096511658525,0.11220799884284371,NA
73,A,SLK S,S4,3,2,0.9832,12659.839999999998,2337.23,9523.9,754.55,44.16,18.461765709519238,75.229228805419339,5.960185910722411,0.3488195743390122,0.1777681348087076,NA
74,A,SLK S,S4,4,2,1.4657,32684.78,6122.71,21247.22,5144.1,170.75,18.7326027588376,65.006464782690912,15.738518050297417,0.5224144081740798,0.2650068706154625,NA
75,A,SLK S,S4,5,2,0.7306,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13209662255008317,NA
76,A,SLK S,S5,1,2,0.4383,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07924712518984596,NA
77,A,SLK S,S5,2,2,0.3015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054512909524842695,NA
78,A,SLK S,S5,3,2,0.2348,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04245317133145295,NA
79,A,SLK S,S5,4,2,0.3247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05870760107036956,NA
80,A,SLK S,S5,5,2,0.2448,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044261228032111084,NA
81,A,SLK NS,S1,1,2,3.7364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6755623056339047,NA
82,A,SLK NS,S1,2,2,2.7348,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49446734649598606,NA
83,A,SLK NS,S1,3,2,3.9425,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7128263542344687,NA
84,A,SLK NS,S1,4,2,3.6804,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6654371881102191,NA
85,A,SLK NS,S1,5,2,4.1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7498915165979605,NA
86,A,SLK NS,S3,1,2,2.9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528024878860201,NA
